2025-11-06 09:36:42,655 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-11-06 09:36:43,686 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-11-06 09:36:43,687 | INPUT | INFO | Fill input "Email" to value "  "
2025-11-06 09:36:43,737 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-11-06 09:36:43,737 | INPUT | INFO | Checking that input "Email" has a value "  "
2025-11-06 09:36:43,746 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-11-06 09:36:43,746 | INPUT | INFO | Fill input "Password" to value "password"
2025-11-06 09:36:43,782 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-11-06 09:36:43,783 | INPUT | INFO | Checking that input "Password" has a value "password"
2025-11-06 09:36:43,791 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2025-11-06 09:36:43,791 | BASE_ELEMENT | INFO | Clicking button "Login"
2025-11-06 09:36:43,861 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-11-06 09:36:43,861 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2025-11-06 09:36:43,880 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-11-06 09:36:43,881 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
