2025-11-06 09:36:57,034 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2025-11-06 09:36:58,068 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-11-06 09:36:58,068 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-11-06 09:36:58,109 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-11-06 09:36:58,109 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2025-11-06 09:36:58,136 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-11-06 09:36:58,136 | INPUT | INFO | Fill input "Username" to value "username"
2025-11-06 09:36:58,168 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-11-06 09:36:58,169 | INPUT | INFO | Checking that input "Username" has a value "username"
2025-11-06 09:36:58,177 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-11-06 09:36:58,177 | INPUT | INFO | Fill input "Password" to value "password"
2025-11-06 09:36:58,204 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-11-06 09:36:58,204 | INPUT | INFO | Checking that input "Password" has a value "password"
2025-11-06 09:36:58,211 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2025-11-06 09:36:58,211 | BASE_ELEMENT | INFO | Clicking button "Registration"
2025-11-06 09:36:58,283 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-11-06 09:36:58,284 | BASE_ELEMENT | INFO | Checking that text "Dashboard" is visible
2025-11-06 09:36:58,406 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-11-06 09:36:58,407 | BASE_ELEMENT | INFO | Checking that text "Dashboard" has text "Dashboard"
