2025-11-06 09:36:39,359 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-11-06 09:36:40,607 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-11-06 09:36:40,608 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-11-06 09:36:40,665 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-11-06 09:36:40,665 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2025-11-06 09:36:40,683 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-11-06 09:36:40,683 | INPUT | INFO | Fill input "Password" to value "password"
2025-11-06 09:36:40,719 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-11-06 09:36:40,719 | INPUT | INFO | Checking that input "Password" has a value "password"
2025-11-06 09:36:40,726 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2025-11-06 09:36:40,726 | BASE_ELEMENT | INFO | Clicking button "Login"
2025-11-06 09:36:40,794 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-11-06 09:36:40,794 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2025-11-06 09:36:40,805 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-11-06 09:36:40,805 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
