2025-11-06 09:36:52,723 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2025-11-06 09:36:53,780 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-input" at index "0"
2025-11-06 09:36:53,781 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2025-11-06 09:36:53,820 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2025-11-06 09:36:53,820 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2025-11-06 09:36:53,854 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-11-06 09:36:53,854 | BASE_ELEMENT | INFO | Checking that text "Image upload info title" is visible
2025-11-06 09:36:53,860 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-11-06 09:36:53,861 | BASE_ELEMENT | INFO | Checking that text "Image upload info title" has text "Tap on "Upload image" button to select file"
2025-11-06 09:36:53,868 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-11-06 09:36:53,868 | BASE_ELEMENT | INFO | Checking that text "Image upload info description" is visible
2025-11-06 09:36:53,877 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-11-06 09:36:53,877 | BASE_ELEMENT | INFO | Checking that text "Image upload info description" has text "Recommended file size 540X300"
2025-11-06 09:36:53,885 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2025-11-06 09:36:53,885 | BASE_ELEMENT | INFO | Checking that button "Upload image" is visible
2025-11-06 09:36:53,892 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2025-11-06 09:36:53,892 | BASE_ELEMENT | INFO | Checking that button "Remove image" is visible
2025-11-06 09:36:53,899 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2025-11-06 09:36:53,899 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2025-11-06 09:36:53,914 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-11-06 09:36:53,914 | INPUT | INFO | Fill input "Title" to value "Playwright"
2025-11-06 09:36:53,943 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-11-06 09:36:53,944 | INPUT | INFO | Checking that input "Title" has a value "Playwright"
2025-11-06 09:36:53,951 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-11-06 09:36:53,952 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2025-11-06 09:36:53,986 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-11-06 09:36:53,986 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2025-11-06 09:36:53,994 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-11-06 09:36:53,994 | TEXTAREA | INFO | Fill textarea "Description" to value "Playwright"
2025-11-06 09:36:54,021 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-11-06 09:36:54,022 | TEXTAREA | INFO | Checking that textarea "Description" has a value "Playwright"
2025-11-06 09:36:54,030 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2025-11-06 09:36:54,030 | INPUT | INFO | Fill input "Max score" to value "100"
2025-11-06 09:36:54,056 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2025-11-06 09:36:54,056 | INPUT | INFO | Checking that input "Max score" has a value "100"
2025-11-06 09:36:54,066 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2025-11-06 09:36:54,066 | INPUT | INFO | Fill input "Min score" to value "10"
2025-11-06 09:36:54,093 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2025-11-06 09:36:54,093 | INPUT | INFO | Checking that input "Min score" has a value "10"
2025-11-06 09:36:54,102 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2025-11-06 09:36:54,102 | BASE_ELEMENT | INFO | Clicking button "Create course"
2025-11-06 09:36:54,190 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2025-11-06 09:36:54,190 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-11-06 09:36:54,227 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2025-11-06 09:36:54,227 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2025-11-06 09:36:54,233 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-create-course-button" at index "0"
2025-11-06 09:36:54,233 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2025-11-06 09:36:54,240 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2025-11-06 09:36:54,240 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2025-11-06 09:36:54,254 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2025-11-06 09:36:54,254 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-11-06 09:36:54,261 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2025-11-06 09:36:54,261 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Playwright"
2025-11-06 09:36:54,266 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2025-11-06 09:36:54,267 | BASE_ELEMENT | INFO | Checking that text "Max score" is visible
2025-11-06 09:36:54,273 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2025-11-06 09:36:54,273 | BASE_ELEMENT | INFO | Checking that text "Max score" has text "Max score: 100"
2025-11-06 09:36:54,280 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2025-11-06 09:36:54,280 | BASE_ELEMENT | INFO | Checking that text "Min score" is visible
2025-11-06 09:36:54,286 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2025-11-06 09:36:54,287 | BASE_ELEMENT | INFO | Checking that text "Min score" has text "Min score: 10"
2025-11-06 09:36:54,292 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2025-11-06 09:36:54,292 | BASE_ELEMENT | INFO | Checking that text "Estimated time" is visible
2025-11-06 09:36:54,298 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2025-11-06 09:36:54,298 | BASE_ELEMENT | INFO | Checking that text "Estimated time" has text "Estimated time: 2 weeks"
2025-11-06 09:36:54,306 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-menu-button" at index "0"
2025-11-06 09:36:54,306 | BASE_ELEMENT | INFO | Clicking button "Menu"
2025-11-06 09:36:54,378 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-edit-menu-item" at index "0"
2025-11-06 09:36:54,378 | BASE_ELEMENT | INFO | Checking that button "Edit" is visible
2025-11-06 09:36:54,386 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-edit-menu-item" at index "0"
2025-11-06 09:36:54,386 | BASE_ELEMENT | INFO | Clicking button "Edit"
2025-11-06 09:36:54,687 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-11-06 09:36:54,687 | INPUT | INFO | Fill input "Title" to value "New Playwright"
2025-11-06 09:36:54,710 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-11-06 09:36:54,710 | INPUT | INFO | Checking that input "Title" has a value "New Playwright"
2025-11-06 09:36:54,717 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-11-06 09:36:54,718 | INPUT | INFO | Fill input "Estimated time" to value "3 weeks"
2025-11-06 09:36:54,746 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-11-06 09:36:54,746 | INPUT | INFO | Checking that input "Estimated time" has a value "3 weeks"
2025-11-06 09:36:54,754 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-11-06 09:36:54,755 | TEXTAREA | INFO | Fill textarea "Description" to value "New Playwright"
2025-11-06 09:36:54,781 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-11-06 09:36:54,781 | TEXTAREA | INFO | Checking that textarea "Description" has a value "New Playwright"
2025-11-06 09:36:54,789 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2025-11-06 09:36:54,789 | INPUT | INFO | Fill input "Max score" to value "1000"
2025-11-06 09:36:54,814 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2025-11-06 09:36:54,814 | INPUT | INFO | Checking that input "Max score" has a value "1000"
2025-11-06 09:36:54,821 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2025-11-06 09:36:54,822 | INPUT | INFO | Fill input "Min score" to value "100"
2025-11-06 09:36:54,851 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2025-11-06 09:36:54,851 | INPUT | INFO | Checking that input "Min score" has a value "100"
2025-11-06 09:36:54,858 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2025-11-06 09:36:54,859 | BASE_ELEMENT | INFO | Clicking button "Create course"
2025-11-06 09:36:54,934 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2025-11-06 09:36:54,934 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-11-06 09:36:54,942 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2025-11-06 09:36:54,943 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2025-11-06 09:36:54,949 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-create-course-button" at index "0"
2025-11-06 09:36:54,949 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2025-11-06 09:36:54,956 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2025-11-06 09:36:54,956 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2025-11-06 09:36:54,971 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2025-11-06 09:36:54,971 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-11-06 09:36:54,978 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2025-11-06 09:36:54,978 | BASE_ELEMENT | INFO | Checking that text "Title" has text "New Playwright"
2025-11-06 09:36:54,983 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2025-11-06 09:36:54,984 | BASE_ELEMENT | INFO | Checking that text "Max score" is visible
2025-11-06 09:36:54,989 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2025-11-06 09:36:54,990 | BASE_ELEMENT | INFO | Checking that text "Max score" has text "Max score: 1000"
2025-11-06 09:36:54,997 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2025-11-06 09:36:54,997 | BASE_ELEMENT | INFO | Checking that text "Min score" is visible
2025-11-06 09:36:55,003 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2025-11-06 09:36:55,003 | BASE_ELEMENT | INFO | Checking that text "Min score" has text "Min score: 100"
2025-11-06 09:36:55,009 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2025-11-06 09:36:55,009 | BASE_ELEMENT | INFO | Checking that text "Estimated time" is visible
2025-11-06 09:36:55,016 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2025-11-06 09:36:55,016 | BASE_ELEMENT | INFO | Checking that text "Estimated time" has text "Estimated time: 3 weeks"
