2025-11-06 09:36:50,650 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2025-11-06 09:36:51,735 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2025-11-06 09:36:51,736 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-11-06 09:36:51,758 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2025-11-06 09:36:51,758 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2025-11-06 09:36:51,764 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2025-11-06 09:36:51,764 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2025-11-06 09:36:51,769 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2025-11-06 09:36:51,769 | BUTTON | INFO | Checking that button "Create course" is disabled
2025-11-06 09:36:51,776 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2025-11-06 09:36:51,776 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2025-11-06 09:36:51,781 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-11-06 09:36:51,781 | BASE_ELEMENT | INFO | Checking that text "Image upload info title" is visible
2025-11-06 09:36:51,786 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-11-06 09:36:51,787 | BASE_ELEMENT | INFO | Checking that text "Image upload info title" has text "Tap on "Upload image" button to select file"
2025-11-06 09:36:51,792 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-11-06 09:36:51,792 | BASE_ELEMENT | INFO | Checking that text "Image upload info description" is visible
2025-11-06 09:36:51,797 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-11-06 09:36:51,797 | BASE_ELEMENT | INFO | Checking that text "Image upload info description" has text "Recommended file size 540X300"
2025-11-06 09:36:51,802 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2025-11-06 09:36:51,802 | BASE_ELEMENT | INFO | Checking that button "Upload image" is visible
2025-11-06 09:36:51,808 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
2025-11-06 09:36:51,808 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2025-11-06 09:36:51,818 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2025-11-06 09:36:51,819 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-11-06 09:36:51,829 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2025-11-06 09:36:51,829 | BASE_ELEMENT | INFO | Checking that text "Title" has text "No image selected"
2025-11-06 09:36:51,834 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2025-11-06 09:36:51,834 | BASE_ELEMENT | INFO | Checking that text "Description" is visible
2025-11-06 09:36:51,839 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2025-11-06 09:36:51,839 | BASE_ELEMENT | INFO | Checking that text "Description" has text "Preview of selected image will be displayed here"
2025-11-06 09:36:51,845 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-11-06 09:36:51,845 | BASE_ELEMENT | INFO | Checking that input "Title" is visible
